	measure	Group1	Group2	pvalue	corrected
1399	o__unknown_ Bacteria	10_cre	5_cre	0.3898	1
1400	o__unknown_ Bacteria	10_cre	5_wt	0.6817	1
1401	o__unknown_ Bacteria	10_cre	7_cre	0.3898	1
1402	o__unknown_ Bacteria	10_cre	7_wt	0.1686	1
1403	o__unknown_ Bacteria	10_cre	9_cre	1	1
1404	o__unknown_ Bacteria	10_cre	9_wt	0.6817	1
1405	o__unknown_ Bacteria	10_wt	12_cre	1	1
1406	o__unknown_ Bacteria	10_wt	12_wt	1	1
1407	o__unknown_ Bacteria	10_wt	5_cre	1	1
1408	o__unknown_ Bacteria	10_wt	5_wt	1	1
1409	o__unknown_ Bacteria	10_wt	7_cre	1	1
1410	o__unknown_ Bacteria	10_wt	7_wt	0.5977	1
1411	o__unknown_ Bacteria	10_wt	9_cre	0.427	1
1412	o__unknown_ Bacteria	10_wt	9_wt	1	1
1413	o__unknown_ Bacteria	12_cre	12_wt	0.6513	1
1414	o__unknown_ Bacteria	12_cre	5_cre	0.6513	1
1415	o__unknown_ Bacteria	12_cre	5_wt	1	1
1416	o__unknown_ Bacteria	12_cre	7_cre	0.6513	1
1417	o__unknown_ Bacteria	12_cre	7_wt	0.3295	1
1418	o__unknown_ Bacteria	12_cre	9_cre	0.6999	1
1419	o__unknown_ Bacteria	12_cre	9_wt	1	1
1420	o__unknown_ Bacteria	12_wt	5_cre	1	1
1421	o__unknown_ Bacteria	12_wt	5_wt	1	1
1422	o__unknown_ Bacteria	12_wt	7_cre	1	1
1423	o__unknown_ Bacteria	12_wt	7_wt	1	1
1424	o__unknown_ Bacteria	12_wt	9_cre	0.2148	1
1425	o__unknown_ Bacteria	12_wt	9_wt	1	1
1426	o__unknown_ Bacteria	5_cre	5_wt	1	1
1427	o__unknown_ Bacteria	5_cre	7_cre	1	1
1428	o__unknown_ Bacteria	5_cre	7_wt	1	1
1429	o__unknown_ Bacteria	5_cre	9_cre	0.2148	1
1430	o__unknown_ Bacteria	5_cre	9_wt	1	1
1431	o__unknown_ Bacteria	5_wt	7_cre	1	1
1432	o__unknown_ Bacteria	5_wt	7_wt	0.5977	1
1433	o__unknown_ Bacteria	5_wt	9_cre	0.427	1
1434	o__unknown_ Bacteria	5_wt	9_wt	1	1
1435	o__unknown_ Bacteria	7_cre	7_wt	1	1
1436	o__unknown_ Bacteria	7_cre	9_cre	0.2148	1
1437	o__unknown_ Bacteria	7_cre	9_wt	1	1
1438	o__unknown_ Bacteria	7_wt	9_cre	0.0801	1
1439	o__unknown_ Bacteria	7_wt	9_wt	0.5977	1
1440	o__unknown_ Bacteria	9_cre	9_wt	0.427	1
