	measure	Group1	Group2	pvalue	corrected
530	OTU_56	12_cre	9_cre	NA	NA
531	OTU_56	12_cre	9_wt	NA	NA
532	OTU_56	12_wt	5_cre	NA	NA
533	OTU_56	12_wt	5_wt	0.5	1
534	OTU_56	12_wt	7_cre	NA	NA
535	OTU_56	12_wt	7_wt	NA	NA
536	OTU_56	12_wt	9_cre	1	1
537	OTU_56	12_wt	9_wt	NA	NA
538	OTU_56	5_cre	5_wt	NA	NA
539	OTU_56	5_cre	7_cre	NA	NA
540	OTU_56	5_cre	7_wt	NA	NA
541	OTU_56	5_cre	9_cre	NA	NA
542	OTU_56	5_cre	9_wt	NA	NA
543	OTU_56	5_wt	7_cre	NA	NA
544	OTU_56	5_wt	7_wt	NA	NA
545	OTU_56	5_wt	9_cre	1	1
546	OTU_56	5_wt	9_wt	NA	NA
547	OTU_56	7_cre	7_wt	NA	NA
548	OTU_56	7_cre	9_cre	NA	NA
549	OTU_56	7_cre	9_wt	NA	NA
550	OTU_56	7_wt	9_cre	1	1
551	OTU_56	7_wt	9_wt	0.5	1
552	OTU_56	9_cre	9_wt	1	1
553	OTU_7	 -	- 	0	0
554	OTU_7	10_cre	10_wt	1	1
555	OTU_7	10_cre	12_cre	NA	NA
556	OTU_7	10_cre	12_wt	1	1
557	OTU_7	10_cre	5_cre	1	1
558	OTU_7	10_cre	5_wt	NA	NA
559	OTU_7	10_cre	7_cre	1	1
560	OTU_7	10_cre	7_wt	1	1
561	OTU_7	10_cre	9_cre	NA	NA
562	OTU_7	10_cre	9_wt	1	1
563	OTU_7	10_wt	12_cre	NA	NA
564	OTU_7	10_wt	12_wt	0.5	1
565	OTU_7	10_wt	5_cre	NA	NA
566	OTU_7	10_wt	5_wt	1	1
567	OTU_7	10_wt	7_cre	1	1
568	OTU_7	10_wt	7_wt	1	1
569	OTU_7	10_wt	9_cre	NA	NA
570	OTU_7	10_wt	9_wt	1	1
571	OTU_7	12_cre	12_wt	0.5	1
572	OTU_7	12_cre	5_cre	0.5	1
573	OTU_7	12_cre	5_wt	1	1
574	OTU_7	12_cre	7_cre	0.5	1
575	OTU_7	12_cre	7_wt	1	1
576	OTU_7	12_cre	9_cre	1	1
577	OTU_7	12_cre	9_wt	1	1
578	OTU_7	12_wt	5_cre	1	1
579	OTU_7	12_wt	5_wt	1	1
580	OTU_7	12_wt	7_cre	0.25	1
581	OTU_7	12_wt	7_wt	1	1
582	OTU_7	12_wt	9_cre	1	1
583	OTU_7	12_wt	9_wt	1	1
584	OTU_7	5_cre	5_wt	1	1
585	OTU_7	5_cre	7_cre	0.125	1
586	OTU_7	5_cre	7_wt	1	1
587	OTU_7	5_cre	9_cre	1	1
588	OTU_7	5_cre	9_wt	0.5	1
589	OTU_7	5_wt	7_cre	0.5	1
